id;code;level;description
1;West;Cambridgeshire Paraguay transmitting;Marketing
2;Berkshire;grey Dollar pixel;Pennsylvania
3;Brand Rubber Gloves;Fantastic navigating;Strategist Corporate Cheese
4;Platinum Bhutanese;alliance;Checking Credit payment
5;loyalty;Lead e-business;Fantastic
6;sexy;Wooden;generating
7;bandwidth;Berkshire Fresh neural;algorithm Assistant
8;Steel Pants;Chips;reboot District
9;Gloves Marketing;Engineer olive;parse SCSI Buckinghamshire
10;Marketing Beauty paradigm;transmit Cotton Loti;parsing
